Manufacturer	Value	Label	Quantity	Manufacturer ID	Supplier	Supplier ID	Price (USD)
MOLEX	BATTERY	J1	1	532610271	LCSC	C189700	0.104
Omron Electronics	XF2M-4015-1A_C225713	J2	1	XF2M-4015-1A	LCSC	C225713	0.556
XUNPU	FPC-05F-6P FT6206	J3	1	FPC-05F-6PH20	LCSC	C2856796	0.088
G-Switch	PJ-342C	J6	1	PJ-342C	LCSC	C2837091	0.153
Everlight Elec	19-223/R6GHC-A01/2T(YY)	LED1	1	19-223/R6GHC-A01/2T(YY)	LCSC	C182213	0.091
Raspberry	RASPBERRYPI-ZERO2W	PI1	1				15
CJ	SS8050	Q1	1	SS8050	LCSC	C2150	0.016
PANASONIC	270kΩ	R9	1	ERJ3EKF2703V	LCSC	C403123	0.009
PANASONIC	100kΩ	R10	1	ERJUP3F1003V	LCSC	C491213	0.056
PANASONIC	1.5kΩ	R29	1	ERJ-3EKF1501V	LCSC	C193392	0.009
	-SPEAKER	SPK1	1				
Korean Hroparts Elec	K3-2245D-F1	SW1	1	K3-2245D-F1	LCSC	C223863	0.182
MICROCHIP	MCP3008T-I/SL	U1	1	MCP3008T-I/SL	LCSC	C2651321	5.146
DIODES	PAM8403DR	U2	1	PAM8403DR	LCSC	C17337	0.464
ON Semicon	NC7WZ16P6X	U3	1	NC7WZ16P6X	LCSC	C114148	0.772
Ashining	nrf24l01+ smd	U4	1	nrf24l01 smd		C84802	2.67
TOPPOWER	TP4056	U5	1	TP4056X	LCSC	C2763448	0.214
Amphenol ICC	10118194-0001LF	USB1	1	10118194-0001LF	LCSC	C132563	0.207
	47uF	C1,C10	2				
Samsung Electro-Mechanics	33nF	C2,C8	2	CL10B333KB8NFNC	LCSC	C307488	0.012
SAMSUNG	10uF	C22,C23	2	CL21A106KPFNNNE	LCSC	C17024	0.008
SAMSUNG	1uF	C24,C25	2	CL10A105KO8NNNC	LCSC	C1592	0.004
XFCN	F0504-H-05-10G-R	J4,J5	2	F0504-H-05-10G-R	LCSC	C2889992	0.142
PANASONIC	1.8kΩ	R1,R6	2	ERJ3EKF1801V	LCSC	C278609	0.01
PANASONIC	22Ω	R2,R3	2	ERJ3RED22R0V	LCSC	C416750	0.018
PANASONIC	270Ω	R7,R8	2	ERJ3GEYJ271V	LCSC	C403465	0.007
PANASONIC	150Ω	R11,R12	2	ERJ3RBD1500V	LCSC	C336847	0.021
HYP	1TS003B-1400-3500A	SW2,SW3	2	1TS003B-1400-3500A	LCSC	C319392	0.039
PANASONIC	220Ω	R4,R5,R21	3	ERJ3EKF2200V	LCSC	C403073	0.011
PANASONIC	1kΩ	R22,R27,R28	3	ERJP03J102V	LCSC	C427272	0.051
PANASONIC	10kΩ	R13,R14,R15,R16,R17,R18,R19,R20,R23,R24,R25,R26	12	ERJ3GEYJ103V	LCSC	C169849	0.006
SAMSUNG	100nF	C3,C4,C5,C6,C7,C9,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21	17	CL10B104KA8NNNC	LCSC	C1590	0.003
Liter Energy	1500mAh 504050 LiPo battery		1			https://www.amazon.com/1500mAh-504050-Battery-Rechargeable-Connector/dp/B09GFQY6ZR	5.22
NoName	"ILI9488 3.5"" screen with FT6206 touch"		1			https://pl.aliexpress.com/item/4001248271603.html?spm=a2g0o.order_list.0.0.ade11c24TehWsM&gatewayAdapt=glo2pol	14.85
Nintendo	Switch Lite Rubber button pad		2				2
Nintendo	Switch joystick		2				5
